Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2020-05-02,47.1365728633,46.9774511653,48.3430402744,46.2106765138
LTC,2020-05-03,49.3709029036,47.1452753357,49.6775703172,46.8970171947
LTC,2020-05-04,47.9781959569,49.3599910051,50.1372316093,46.7907621983
LTC,2020-05-05,47.0222543076,47.9841577352,48.2141550092,45.2189690171
LTC,2020-05-06,46.6050552841,47.0224597036,47.7863842797,45.8095627158
LTC,2020-05-07,46.6549974254,46.5921043199,47.6302133261,46.1857539453
LTC,2020-05-08,47.5845531024,46.6542652747,48.2478367649,44.4967414475
LTC,2020-05-09,47.9944387736,47.5924394516,48.5845480587,46.4258750179
LTC,2020-05-10,47.2087130758,47.9944348959,49.2274249574,46.9827680629
LTC,2020-05-11,42.1149805198,47.2078346438,47.4747098159,39.740638264
LTC,2020-05-12,41.3966726737,42.1095484693,42.9326643808,39.4456174742
LTC,2020-05-13,42.2157636522,41.3917244814,42.8861577192,41.1918396319
LTC,2020-05-14,43.3110063084,42.2389369028,43.796768905,42.0134383899
LTC,2020-05-15,44.0827571966,43.3108580058,44.4094927027,42.2995921657
LTC,2020-05-16,43.0365161715,44.0209397217,44.1353450706,41.9420995716
LTC,2020-05-17,43.3745179701,43.0404447923,43.8520946527,42.5123347491
LTC,2020-05-18,43.7515806145,43.3735268773,44.4637942528,43.118200664
LTC,2020-05-19,45.2169126424,43.6795259573,46.639527594,43.6484825937
LTC,2020-05-20,45.4804936478,45.217800362,45.6688761542,44.120445948
LTC,2020-05-21,44.183017986,45.4796174856,46.1391380372,43.1985442525
LTC,2020-05-22,42.9413874715,44.1870064884,44.6012267508,41.6432886783
LTC,2020-05-23,44.3967786218,42.9364603822,44.6707539844,42.3678743153
LTC,2020-05-24,44.0871367766,44.3967786411,44.7286412657,43.7194462822
LTC,2020-05-25,43.1361679505,44.0865844862,44.5446709434,42.5220426859
LTC,2020-05-26,42.9145325894,43.1361266826,43.2875381681,41.7453441402
LTC,2020-05-27,42.3626318998,42.918810296,43.0729447625,41.8075530755
LTC,2020-05-28,43.5258050642,42.3626318996,44.0080839997,42.1896330702
LTC,2020-05-29,44.3548229759,43.5256087614,44.5822129978,41.8017458664
LTC,2020-05-30,44.5000464422,44.3551650896,45.271390699,44.1531202873
LTC,2020-05-31,47.7051237754,44.5163021689,48.0138671889,44.1918237556
LTC,2020-06-01,45.4912271708,47.7092834413,47.7802459476,45.1244552648
LTC,2020-06-02,48.7437635489,45.4906115409,48.8368667837,45.3554757628
LTC,2020-06-03,45.9586005371,48.7430521666,49.9548477822,44.6099356609
LTC,2020-06-04,47.1508071843,45.9586912352,47.4680115575,45.3083636211
LTC,2020-06-05,47.4583139385,47.1565031959,48.0930280352,46.3343693168
LTC,2020-06-06,47.0012526353,47.4590599269,47.9835416908,46.4616202156
LTC,2020-06-07,46.8183596558,47.0007359143,47.2187199292,46.1633677202
LTC,2020-06-08,46.5574641277,46.8183592645,46.9701666657,45.1699533131
LTC,2020-06-09,46.4502054073,46.5574700574,46.7719904738,45.9978794612
LTC,2020-06-10,46.0296313889,46.4366146335,46.8358734339,43.4132262494
LTC,2020-06-11,46.6408659393,46.0298767443,47.1301678056,45.6693117969
LTC,2020-06-12,43.1541870736,46.6408670787,46.9434244693,42.0914281509
LTC,2020-06-13,44.6523115529,43.1548899433,45.3584166235,42.8098444371
LTC,2020-06-14,45.0843430859,44.6484199117,45.2152070973,44.3078996802
LTC,2020-06-15,44.1493184187,45.0843431776,45.1285227529,43.5459040633
LTC,2020-06-16,43.825085066,44.148911591,44.1491044844,41.7535900603
LTC,2020-06-17,43.7957488906,43.825483728,44.1871042581,43.4071045228
LTC,2020-06-18,44.0205308798,43.7954601726,44.9988321296,43.0145866563
LTC,2020-06-19,43.5149331584,44.0203565343,44.1614346872,42.8601888862
LTC,2020-06-20,42.7917168758,43.5106067299,43.6676928822,42.6230947315
LTC,2020-06-21,43.5566331974,42.7897971289,43.8112369157,42.284184898
LTC,2020-06-22,42.9525307231,43.5591414468,43.7972223295,42.8709239012
LTC,2020-06-23,44.3323367298,42.9518719913,44.6396042463,42.9147519201
LTC,2020-06-24,44.0725569797,44.332663218,44.4904638003,43.9062889619
LTC,2020-06-25,42.68349847,44.0725569797,44.6435807512,42.1178559269
LTC,2020-06-26,42.3548905527,42.6833473079,42.9783912211,41.6728018777
LTC,2020-06-27,43.1705752529,42.3505574047,43.559573295,41.3408179703
LTC,2020-06-28,41.191817988,43.1703757859,43.1726059598,39.2260552503
LTC,2020-06-29,41.2579678591,41.1875374005,42.012302158,40.4835904149
LTC,2020-06-30,41.9104675677,41.2603094362,42.2422627041,40.5951916937
LTC,2020-07-01,41.2518351378,41.9104641887,42.0293979513,40.7506018541
LTC,2020-07-02,41.8108674712,41.1967331613,42.03343117,40.9993918472
LTC,2020-07-03,40.9577202239,41.8082511565,41.9134356692,40.3581753318
